Division ID,Rd1 Layout,Rd2 Layout,Rd3 Layout,Rd1 Last Hole Length,Rd2 Last Hole Length,Rd3 Last Hole Length,Place,Points,Name,PDGA Number,Rating,Par,Rd1,Rd2,Rd3,Rd1 Rating,Rd2 Rating,Rd3 Rating,Total,Event,Major
MA50,62.0,62.0,62.0,5660.0,5660.0,5660.0,5.0,6.0,Davie Graham,239613.0,,+87,86.0,93.0,94.0,710.0,698.0,671.0,273.0,Farewell Fanmore ,0
MA50,62.0,62.0,62.0,5660.0,5660.0,5660.0,6.0,0.0,Arvind Sood,245565.0,,,89.0,999.0,999.0,682.0,,,999.0,Farewell Fanmore ,0
MA65,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,0.0,Trant Luard,76292.0,650.0,,92.0,101.0,999.0,655.0,631.0,,999.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,48.0,Jamie Doak,157964.0,875.0,+14,71.0,65.0,64.0,847.0,935.0,932.0,200.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,44.0,Kyle Roderick,203687.0,872.0,+15,63.0,70.0,68.0,920.0,893.0,897.0,201.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,3.0,40.0,Ewan Penman,205573.0,898.0,+24,72.0,73.0,65.0,838.0,867.0,923.0,210.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,4.0,36.0,Thomas Wells,237667.0,863.0,+25,63.0,68.0,80.0,920.0,910.0,793.0,211.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,5.0,32.0,Zvi Teff,50955.0,862.0,+38,72.0,77.0,75.0,838.0,834.0,836.0,224.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,5.0,32.0,Adrian Sorin Mutei,239072.0,,+38,71.0,77.0,76.0,847.0,834.0,827.0,224.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,7.0,24.0,David Faithfull,121935.0,841.0,+45,74.0,78.0,79.0,820.0,825.0,801.0,231.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,8.0,20.0,Jamie Wells,,,+48,72.0,86.0,76.0,838.0,758.0,827.0,234.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,9.0,0.0,John Clark,148952.0,859.0,,64.0,78.0,999.0,911.0,825.0,,999.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,9.0,0.0,Ricci Russle,,,,77.0,89.0,999.0,792.0,732.0,,999.0,Farewell Fanmore ,0
MA2,62.0,62.0,62.0,5660.0,5660.0,5660.0,11.0,0.0,Callum Beattie,147378.0,858.0,,70.0,999.0,999.0,856.0,,,999.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,42.0,Jon Luke Henderson,237660.0,850.0,+25,68.0,72.0,71.0,874.0,876.0,871.0,211.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,39.0,Stephen Scott,237662.0,831.0,+40,71.0,74.0,81.0,847.0,859.0,784.0,226.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,3.0,36.0,Andrea Trevisan,,,+41,70.0,76.0,81.0,856.0,842.0,784.0,227.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,4.0,33.0,James Reddaway,259983.0,,+42,70.0,83.0,75.0,856.0,783.0,836.0,228.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,5.0,30.0,Michael Varrow,147652.0,813.0,+53,80.0,79.0,80.0,765.0,817.0,793.0,239.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,6.0,27.0,Grant Lopes,,,+58,74.0,88.0,82.0,820.0,741.0,775.0,244.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,7.0,24.0,Iain MacKenzie (oggie),,,+60,87.0,81.0,78.0,701.0,800.0,810.0,246.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,8.0,21.0,David Mckie,,,+62,87.0,80.0,81.0,701.0,808.0,784.0,248.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,8.0,21.0,Carl Roderick,214307.0,786.0,+62,80.0,82.0,86.0,765.0,791.0,740.0,248.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,10.0,15.0,Anthony Jackson,228139.0,771.0,+65,78.0,89.0,84.0,783.0,732.0,758.0,251.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,11.0,12.0,Ian MacDougall (dingle),,,+66,81.0,90.0,81.0,756.0,724.0,784.0,252.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,12.0,9.0,Shaun MacEachen,239209.0,,+105,94.0,99.0,98.0,637.0,648.0,636.0,291.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,13.0,0.0,Laura Fyfe,150220.0,802.0,,70.0,85.0,999.0,856.0,766.0,,999.0,Farewell Fanmore ,0
MA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,13.0,0.0,Ally Pollock,,,,93.0,110.0,999.0,646.0,555.0,,999.0,Farewell Fanmore ,0
FA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,4.5,Roisin Kelly,,,+100,93.0,96.0,97.0,646.0,673.0,645.0,286.0,Farewell Fanmore ,0
FA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,0.0,Rhia Edwards,245899.0,,,101.0,129.0,999.0,573.0,394.0,,999.0,Farewell Fanmore ,0
FA3,62.0,62.0,62.0,5660.0,5660.0,5660.0,3.0,0.0,Tandala MacRae,177592.0,718.0,,77.0,999.0,999.0,792.0,,,999.0,Farewell Fanmore ,0
MJ18,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,4.0,Connor Mackenzie,,,+56,78.0,86.0,78.0,783.0,758.0,810.0,242.0,Farewell Fanmore ,0
MJ18,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,0.0,Benny Sood,245564.0,,,74.0,82.0,999.0,820.0,791.0,,999.0,Farewell Fanmore ,0
FJ18,62.0,62.0,62.0,5660.0,5660.0,5660.0,1.0,4.0,Jessica Clegg,155503.0,482.0,+147,102.0,113.0,118.0,564.0,529.0,462.0,333.0,Farewell Fanmore ,0
FJ18,62.0,62.0,62.0,5660.0,5660.0,5660.0,2.0,0.0,Ollie Henderson,191819.0,435.0,,125.0,999.0,999.0,354.0,,,999.0,Farewell Fanmore ,0
MPO,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,15.0,Scott Stokely,3140.0,1009.0,-33,55.0,56.0,54.0,1034.0,1026.0,1043.0,165.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MPO,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,10.0,Iain McDougall,17038.0,966.0,-10,64.0,67.0,57.0,958.0,933.0,1017.0,188.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MPO,66.0,66.0,66.0,6368.0,6368.0,6368.0,3.0,5.0,John Bruce,8845.0,951.0,-1,66.0,69.0,62.0,942.0,916.0,975.0,197.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MP40,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,12.0,Woodstock Harding,8553.0,880.0,+6,70.0,70.0,64.0,908.0,908.0,958.0,204.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MP40,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,8.0,Paul Stoddart,8893.0,920.0,+12,71.0,72.0,67.0,899.0,891.0,933.0,210.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MP40,66.0,66.0,66.0,6368.0,6368.0,6368.0,3.0,4.0,Craig Pettitt,62164.0,902.0,+20,73.0,75.0,70.0,883.0,866.0,908.0,218.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,55.0,Liam Pitt,184606.0,954.0,-3,65.0,62.0,68.0,950.0,975.0,925.0,195.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,50.0,Grant Snowden,210541.0,946.0,-2,67.0,63.0,66.0,933.0,967.0,942.0,196.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,50.0,Michael Sharkey,113299.0,959.0,-2,66.0,64.0,66.0,942.0,958.0,942.0,196.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,4.0,40.0,Gareth Vickers,145509.0,901.0,+1,69.0,67.0,63.0,916.0,933.0,967.0,199.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,5.0,35.0,Niall Millband,169766.0,920.0,+2,68.0,68.0,64.0,925.0,925.0,958.0,200.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,6.0,30.0,Florian Koralambe,163585.0,920.0,+4,64.0,69.0,69.0,958.0,916.0,916.0,202.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,7.0,25.0,Alan Davidson,107583.0,900.0,+6,71.0,68.0,65.0,899.0,925.0,950.0,204.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,8.0,20.0,Luke Dodd Adkins,182987.0,881.0,+7,67.0,69.0,69.0,933.0,916.0,916.0,205.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,9.0,15.0,Adam Mackrory,112073.0,920.0,+11,74.0,71.0,64.0,874.0,899.0,958.0,209.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,9.0,15.0,Bella Tait,162697.0,914.0,+11,74.0,66.0,69.0,874.0,942.0,916.0,209.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,11.0,5.0,Zaki Naqvi,131871.0,915.0,+16,71.0,68.0,75.0,899.0,925.0,866.0,214.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
FA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,9.0,Elva-Kate Preston,184609.0,849.0,+26,79.0,69.0,76.0,832.0,916.0,857.0,224.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
FA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,6.0,Natalie Eykyn,184608.0,859.0,+32,75.0,79.0,76.0,866.0,832.0,857.0,230.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
FA1,66.0,66.0,66.0,6368.0,6368.0,6368.0,3.0,3.0,Melodie Zehnder,199309.0,837.0,+43,84.0,76.0,81.0,790.0,857.0,815.0,241.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA40,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,20.0,Richard Hooper,60480.0,917.0,+12,70.0,67.0,73.0,908.0,933.0,883.0,210.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA40,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,16.0,Jon Cicuttin,79634.0,870.0,+17,73.0,73.0,69.0,883.0,883.0,916.0,215.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA40,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,16.0,Paul Waite,167864.0,893.0,+17,68.0,78.0,69.0,925.0,840.0,916.0,215.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA40,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,16.0,Jack Goolden,117107.0,924.0,+17,69.0,75.0,71.0,916.0,866.0,899.0,215.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA40,66.0,66.0,66.0,6368.0,6368.0,6368.0,5.0,4.0,Christopher Staddon,222110.0,601.0,+104,101.0,103.0,98.0,646.0,629.0,672.0,302.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA50,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,6.0,Tim Herring,8819.0,806.0,+55,85.0,84.0,84.0,781.0,790.0,790.0,253.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA50,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,0.0,Marek Nowak,100631.0,795.0,,999.0,999.0,999.0,,,,999.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA2,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,24.0,Daniel Bowles,157050.0,899.0,E,69.0,66.0,63.0,916.0,942.0,967.0,198.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA2,66.0,66.0,66.0,6368.0,6368.0,6368.0,2.0,20.0,Scott Jenkins,165627.0,885.0,+14,67.0,71.0,74.0,933.0,899.0,874.0,212.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA2,66.0,66.0,66.0,6368.0,6368.0,6368.0,3.0,16.0,Johnnie Symington-Mauro,204067.0,896.0,+20,73.0,74.0,71.0,883.0,874.0,899.0,218.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA2,66.0,66.0,66.0,6368.0,6368.0,6368.0,3.0,16.0,Chris Malmgard,117775.0,893.0,+20,73.0,73.0,72.0,883.0,883.0,891.0,218.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA2,66.0,66.0,66.0,6368.0,6368.0,6368.0,5.0,8.0,Zvi Teff,50955.0,862.0,+23,73.0,72.0,76.0,883.0,891.0,857.0,221.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA2,66.0,66.0,66.0,6368.0,6368.0,6368.0,6.0,4.0,Alun Pinder,142500.0,905.0,+25,80.0,70.0,73.0,823.0,908.0,883.0,223.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
FA2,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,2.0,Rachel Ireland-Jones,150733.0,795.0,+65,80.0,89.0,94.0,823.0,748.0,705.0,263.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
MA3,66.0,66.0,66.0,6368.0,6368.0,6368.0,1.0,15.0,Iestyn Crompton,209718.0,843.0,+16,68.0,71.0,75.0,925.0,899.0,866.0,214.0,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1
